recordId,name,url,location,overallRating,venueRating,serviceRating,foodRating,reviews,tags,price,capacity,rooms
recEVqHq1aNQ9gkfi,JW Marriott Hotel Singapore South Beach,https://www.bridely.sg/venue/jw-marriott-hotel-singapore-south-beach/r/recEVqHq1aNQ9gkfi,Bras Basah,4.5,4.6,4.3,3.9,63,"Hotel, Chinese, Ballroom, Indoor",From $309/pax,220-420 pax,"[{""name"": ""Grand Ballroom"", ""capacity"": ""220-420 pax"", ""price"": ""From $309/pax""}]"
recjssjp75IRHLGQY,PARKROYAL COLLECTION Pickering,https://www.bridely.sg/venue/parkroyal-collection-pickering/r/recjssjp75IRHLGQY,Central Area,4.3,4.4,3.9,4.1,83,"Hotel, Chinese, Ballroom, Garden & Greenery, Glasshouse, Indoor, Outdoor",From $214/pax,200-250 pax,"[{""name"": ""William Pickering Ballroom"", ""capacity"": ""200-250 pax"", ""price"": ""From $214/pax""}, {""name"": ""Alexander Room"", ""capacity"": ""80-100 pax"", ""price"": ""From $214/pax""}]"
rec5Do9bNbZmbFnt9,JEN Singapore Tanglin by Shangri-La,https://www.bridely.sg/venue/jen-singapore-tanglin-by-shangri-la/r/rec5Do9bNbZmbFnt9,Central Area,4.3,4.1,4.1,3.9,78,"Hotel, Chinese",From $139/pax,150-280 pax,"[{""name"": ""The Gallery"", ""capacity"": ""150-280 pax"", ""price"": ""From $139/pax""}, {""name"": ""Malacca & Penang"", ""capacity"": """", ""price"": """"}, {""name"": ""Temasek Room"", ""capacity"": """", ""price"": """"}]"
recOVVBdgxeDa2xLg,Crowne Plaza Changi Airport,https://www.bridely.sg/venue/crowne-plaza-changi-airport/r/recOVVBdgxeDa2xLg,Changi,4.4,4.2,4.2,4.1,63,"Hotel, Chinese, Ballroom, Indoor",From $202/pax,80-140 pax,"[{""name"": ""Camellia Ballroom"", ""capacity"": ""80-140 pax"", ""price"": ""From $202/pax""}, {""name"": ""Chengal Ballroom"", ""capacity"": ""180-300 pax"", ""price"": ""From $212/pax""}]"
recmglERj5daazkVc,Sheraton Towers Singapore,https://www.bridely.sg/venue/sheraton-towers-singapore/r/recmglERj5daazkVc,Central Area,4.5,4.5,4.2,4.2,54,"Hotel, Chinese, Western, Ballroom, Indoor",From $214/pax,200-400 pax,"[{""name"": ""Grand Ballroom"", ""capacity"": ""200-400 pax"", ""price"": ""From $214/pax""}, {""name"": ""Ballroom 1 & 2"", ""capacity"": ""150-200 pax"", ""price"": ""From $214/pax""}, {""name"": ""Ballroom 3 & 4"", ""capacity"": ""100-120 pax"", ""price"": ""From $214/pax""}, {""name"": ""Topaz Room"", ""capacity"": ""100-120 pax"", ""price"": ""From $214/pax""}]"
rec5B0r3qtJycHMxn,Goodwood Park Hotel,https://www.bridely.sg/venue/goodwood-park-hotel/r/rec5B0r3qtJycHMxn,Central Area,4.3,4.4,4.1,3.9,68,"Hotel, Chinese, Ballroom, Colonial/Historical, Indoor",From $208/pax,250-350 pax,"[{""name"": ""Windsor Ballroom"", ""capacity"": ""250-350 pax"", ""price"": ""From $208/pax""}, {""name"": ""Tudor Ballroom"", ""capacity"": ""120-180 pax"", ""price"": ""From $208/pax""}]"
rechd47AKUs6ukd3v,PARKROYAL on Beach Road,https://www.bridely.sg/venue/parkroyal-on-beach-road/r/rechd47AKUs6ukd3v,Kampong Glam,4.2,4.4,4,4,75,"Hotel, Chinese, Ballroom, Garden & Greenery, Glasshouse, Indoor",From $129/pax,1-190 pax,"[{""name"": ""Ginger"", ""capacity"": ""1-190 pax"", ""price"": ""From $129/pax""}, {""name"": ""Grand Ballroom"", ""capacity"": ""250-400 pax"", ""price"": ""From $200/pax""}, {""name"": ""Sky Ballroom"", ""capacity"": ""160-280 pax"", ""price"": ""From $200/pax""}]"
recImULdJleYpUoyS,W Singapore - Sentosa Cove,https://www.bridely.sg/venue/w-singapore-sentosa-cove/r/recImULdJleYpUoyS,Southern Islands,4.4,4.5,4.4,4.4,58,"Hotel, Chinese, Western, Garden & Greenery, Glasshouse, Indoor, Outdoor, Waterfront",From $225/pax,80-138 pax,"[{""name"": ""The Kitchen Table Restaurant"", ""capacity"": ""80-138 pax"", ""price"": ""From $225/pax""}, {""name"": ""Great Room"", ""capacity"": ""200-480 pax"", ""price"": ""From $237/pax""}, {""name"": ""Studio Room"", ""capacity"": ""100-150 pax"", ""price"": ""From $237/pax""}, {""name"": ""SKIRT Restaurant"", ""capacity"": ""50-110 pax"", ""price"": ""From $249/pax""}]"
recogbkvmHgfrpCTz,Empress,https://www.bridely.sg/venue/empress/r/recogbkvmHgfrpCTz,Central Area,4.4,4.4,4.3,4.7,50,"Restaurant, Chinese, Garden & Greenery, Glasshouse, Indoor, Outdoor, Waterfront","From $18,944",1-180 pax,"[{""name"": ""Outdoor & Indoor Exclusive"", ""capacity"": ""1-180 pax"", ""price"": ""From $18,944""}, {""name"": ""Indoor Exclusive"", ""capacity"": ""1-110 pax"", ""price"": ""From $16,546""}]"
rec8Ls10aO49SU7Pj,Orchard Hotel Singapore,https://www.bridely.sg/venue/orchard-hotel-singapore/r/rec8Ls10aO49SU7Pj,Central Area,4.1,4.1,4,4,88,"Hotel, Chinese, Indian, Muslim-friendly",From $148/pax,180-1000 pax,"[{""name"": ""Indian Wedding Packages"", ""capacity"": ""180-1000 pax"", ""price"": ""From $148/pax""}, {""name"": ""Malay Wedding Packages"", ""capacity"": ""180-1000 pax"", ""price"": ""From $148/pax""}, {""name"": ""Orchard Grand Ballroom (Chinese)"", ""capacity"": ""600-1000 pax"", ""price"": ""From $178.8/pax""}, {""name"": ""Orchard Grand Ballroom 1 & 2 (Chinese)"", ""capacity"": ""350-550 pax"", ""price"": ""From $178.8/pax""}, {""name"": ""Orchard Grand Ballroom 3 (Chinese)"", ""capacity"": ""180-300 pax"", ""price"": ""From $178.8/pax""}]"
