address,area,capacity_seated,capacity_standing,catering_options,city,cuisine,is_supervenue,lat,lng,min_attendees,mrt_distance,mrt_station,opening_hours,postcode,price,price_method,price_per_person,price_per_person_type,price_type,rating,response_rate,response_time_min,reviews,room_features,room_id,room_name,space_type,url,venue_id,venue_name,venue_part,venue_type,venue_url
"2 Finlayson Green, Raffles Place 2",Raffles Place,90,120,"[1, 16, 19, 8, 1000]",Singapore,American,False,1.2819224,103.8516356,,250 m,Raffles Place MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""07:00"", ""closes"": ""22:00""}]",049247,S$500,hire fee,2800,per morning,per session,4.4,1,28,85,"[3, 5, 6, 7, 8, 9, 10, 11, 12, 16, 17]",13546,Ascott Raffles Place Venue,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/13546/raffles-place-event-venue/ascott-raffles-place-venue,6190,Raffles Place Event Venue,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/6190/raffles-place-event-venue
577a Balestier Road ,Balestier,40,40,"[7, 16, 1000, 1001]",Singapore,,True,1.3264576,103.8440056,,650 m,Novena MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""00:00"", ""closes"": ""23:59""}]",329892,S$65,hire fee,-1,NULL,per hour,5,0.9145,0,8,"[3, 5, 6, 7, 8, 12, 16, 17, 18, 19, 21, 24, 27, 28]",82654,Entire Venue,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/82654/kei-studio-pet-friendly-event-space/entire-venue,49825,KEI Studio | Pet Friendly Event Space,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/49825/kei-studio-pet-friendly-event-space
76 Nanyang Drive ,Western Water Catchment,100,100,"[1, 2, 3, 9, 14, 15, 20, 21, 8, 1000, 1001]",Singapore,Asian,False,1.347429436306,103.67948062618,,,,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""17:00"", ""closes"": ""20:00""}]",637331,S$28,per person,2800,per evening,per evening,4.5,0.9883,12,3,"[3, 5, 6, 7, 8, 9, 10, 12, 16, 17, 18, 21]",29206,Event Venue NTU Campus,Dining Room,https://www.tagvenue.com/sg/rooms/singapore/29206/event-venue-ntu-campus/event-venue-ntu-campus,13964,Event Venue NTU Campus,Semi-private area,Restaurant,https://www.tagvenue.com/sg/venues/singapore/13964/event-venue-ntu-campus
Pasir Panjang Road 102E,Pasir Panjang 2,90,100,"[1, 2, 7, 20, 8, 1001]",Singapore,,True,1.2760918,103.7954127,,450 m,Pasir Panjang MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Wednesday"", ""Thursday"", ""Friday""], ""opens"": ""10:30"", ""closes"": ""21:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday"", ""Sunday""], ""opens"": ""09:00"", ""closes"": ""21:00""}]",118529,S$400,hire fee,-1,NULL,per hour,4.7,0.9748,34,30,"[3, 5, 6, 7, 8, 10, 12, 17, 19]",32524,Entire Venue,Cafe,https://www.tagvenue.com/sg/rooms/singapore/32524/knots-cafe-and-living-pasir-panjang/entire-venue,15087,Knots Cafe and Living (Pasir Panjang),Whole venue,Cafe,https://www.tagvenue.com/sg/venues/singapore/15087/knots-cafe-and-living-pasir-panjang
39 MacTaggart Road ,Joo Seng,152,180,"[1, 2, 9, 10, 8, 1000, 1001]",Singapore,,False,1.3339436,103.8832766,,550 m,Tai Seng MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""00:00"", ""closes"": ""23:59""}]",368084,S$78,per person,-1,NULL,,4.9,0.9819,327,24,"[3, 5, 6, 7, 8, 9, 10, 11, 12, 16, 17, 18, 24, 25, 27]",39302,The Outset,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/39302/the-outset/the-outset?event-offer=wedding,18722,The Outset,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/18722/the-outset
Duxton Hill 10A,Tanjong Pagar,65,65,"[7, 16, 19, 8]",Singapore,,True,1.2791609645404,103.84283812209,,350 m,Outram Park MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Saturday"", ""Sunday""], ""opens"": ""09:00"", ""closes"": ""22:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Friday""], ""opens"": ""09:00"", ""closes"": ""17:00""}]",089594,S$1300,hire fee,-1,NULL,per hour,4.9,1,7,51,"[3, 5, 6, 7, 9, 12, 17, 18, 19, 20, 27]",24834,Weddings and ROM,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/24834/the-secret-patio/full-venue?event-offer=wedding,11630,The Secret Patio,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/11630/the-secret-patio
Tampines Street 92 1/A,Tampines West,120,150,"[1, 2, 9, 10, 14, 16, 20, 21, 8, 1000, 1001]",Singapore,Asian,False,1.3440858099799,103.94183019511,,400 m,Tampines West MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""11:00"", ""closes"": ""23:00""}]",528882,S$2500,minimum spend,-1,NULL,per session,5,0.997,104,8,"[3, 5, 7, 8, 9, 12, 16, 17, 18, 24, 25, 26]",27689,Main Hall,Hall,https://www.tagvenue.com/sg/rooms/singapore/27689/7th-heaven-event-space/main-hall,13227,7th Heaven Event Space,Private space,Restaurant,https://www.tagvenue.com/sg/venues/singapore/13227/7th-heaven-event-space
1 Unity Street ,Singapore City Centre,90,110,"[1, 7, 15, 20, 8, 1001]",Singapore,,False,1.2913643,103.8423677,,250 m,Fort Canning MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""11:00"", ""closes"": ""22:00""}]",237983,S$2500,minimum spend,4500,per session,per session,4.5,0.9381,312,11,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 19, 20, 28]",68464,Entrepôt,Restaurant,https://www.tagvenue.com/sg/rooms/singapore/68464/the-robertson-house-by-the-crest-collection/entrepot,36314,The Robertson House by The Crest Collection,Private space,Hotel,https://www.tagvenue.com/sg/venues/singapore/36314/the-robertson-house-by-the-crest-collection-2
Coleman Street 23A,Dhoby Ghaut,150,350,"[1, 2, 9, 14, 20, 21, 8, 1000, 1001]",Singapore,European,False,1.2925592325231,103.84915494114,,400 m,City Hall MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""10:00"", ""closes"": ""23:30""}]",179806,S$78,per person,-1,NULL,per session,4.9,0.985,54,29,"[3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 25, 26, 27]",24918,Whole Venue,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/24918/the-masons-table/whole-venue,11594,The Masons Table,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/11594/the-masons-table
131 Neil Road ,Everton Park,25,30,"[16, 18, 1000, 1001]",Singapore,,True,1.2773446,103.8380588,,300 m,Outram Park MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday""], ""opens"": ""08:00"", ""closes"": ""21:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday"", ""Sunday""], ""opens"": ""09:00"", ""closes"": ""20:00""}]",088860,S$100,hire fee,-1,NULL,per hour,4.7,1,0,38,"[5, 6, 7, 8, 12, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",78233,RED PANDA STUDIO (A+B),Photo / Film Studio,https://www.tagvenue.com/sg/rooms/singapore/78233/red-panda/red-panda-studio-ab,46023,Red Panda,Whole venue,Photo / Film Studio,https://www.tagvenue.com/sg/venues/singapore/46023/red-panda
30 Raffles Avenue ,Marina Centre,125,200,"[1, 2, 14, 20, 8, 1000, 1001]",Singapore,,False,1.2891138,103.8625009,,450 m,Promenade MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""10:30"", ""closes"": ""22:30""}]",039803,S$70,per person,7000,per session,,5,0.9423,97,8,"[3, 5, 6, 7, 8, 9, 12, 13, 17, 18]",71644,Event Area,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/71644/plume-singapore/event-area?event-offer=wedding,39759,Plume Singapore,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/39759/plume-singapore
11 Slim Barracks Rise #03-00,One North,450,450,"[1, 2, 7, 9, 10, 14, 16, 18, 20, 21, 8, 1001]",Singapore,Asian,False,1.3038359,103.7897048,,300 m,Buona Vista MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""08:00"", ""closes"": ""17:00""}]",138664,S$68,per person,6800,per session,per session,4.1,1,30,70,"[3, 5, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 21, 25, 26, 28]",46639,PEN & INC · One-North Hall,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/46639/pen-inc-one-north-function-hall/pen-inc-one-north-hall,22525,PEN & INC One-North Function Hall,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/22525/pen-inc-one-north-function-hall
43 Admiralty Road West ,The Wharves,100,100,"[1, 2, 7, 9, 16, 19, 8]",Singapore,,False,1.4697594,103.8196348,,,,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""10:00"", ""closes"": ""21:00""}]",759962,S$4500,hire fee,-1,NULL,per session,4.2,0.981,64,18,"[3, 5, 6, 7, 8, 10, 11, 12, 16, 17, 18]",24680,Lazarus Ballroom,Ballroom,https://www.tagvenue.com/sg/rooms/singapore/24680/saf-yacht-club/lazarus-ballroom,8906,SAF Yacht Club,Private space,Sports Club,https://www.tagvenue.com/sg/venues/singapore/8906/saf-yacht-club
71 Ubi Crescent Excalibur Centre #05-08,Kampong Ubi,40,45,"[7, 16, 1000, 1001]",Singapore,,True,1.3268908,103.8983586,,350 m,Ubi MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday""], ""opens"": ""17:00"", ""closes"": ""22:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday""], ""opens"": ""10:00"", ""closes"": ""22:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Sunday""], ""opens"": ""10:00"", ""closes"": ""06:00""}]",408571,S$60,hire fee,-1,NULL,per hour,4.7,0.9967,0,82,"[5, 7, 9, 12, 16, 17, 18, 24]",66977,Entire Venue,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/66977/bearyfun-studio/entire-venue,33229,Bearyfun Studio,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/33229/bearyfun-studio
996 Bendemeer Road B-central #05-07,Bendemeer,30,30,"[7, 16, 1000, 1001]",Singapore,,False,1.3191737,103.8653791,,400 m,Boon Keng MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""08:00"", ""closes"": ""22:00""}]",339944,S$90,hire fee,-1,NULL,per hour,4.7,0.9349,42,12,"[3, 5, 6, 7, 12, 17, 19, 21, 24, 27]",56100,POP Studio,Photo Studio,https://www.tagvenue.com/sg/rooms/singapore/56100/pop-studio/pop-studio,27359,POP Studio,Whole venue,Photo Studio,https://www.tagvenue.com/sg/venues/singapore/27359/pop-studio-2
10 Coleman Street ,City Hall,120,150,"[1, 8, 1000, 1001]",Singapore,European,False,1.2928919,103.8503844,,250 m,City Hall MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""12:00"", ""closes"": ""22:30""}]",179809,S$3600,hire fee,-1,NULL,per afternoon,4.6,0.9891,262,26,"[3, 5, 6, 8, 11, 12, 17, 18, 24]",26594,Rooftop Sky Garden,Rooftop,https://www.tagvenue.com/sg/rooms/singapore/26594/grand-park-city-hall/rooftop-sky-garden?event-offer=wedding,12594,Grand Park City Hall,Private space,Hotel,https://www.tagvenue.com/sg/venues/singapore/12594/grand-park-city-hall
118 Tagore Lane #03-02,Tagore,80,100,"[1, 7, 16, 18, 1000, 1001]",Singapore,Asian,True,1.3849679,103.8295849,,,,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday""], ""opens"": ""10:00"", ""closes"": ""22:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""10:00"", ""closes"": ""00:00""}]",787549,S$200,hire fee,-1,NULL,per hour,4.8,0.9681,203,28,"[3, 5, 6, 7, 9, 10, 12, 17, 18, 19, 21, 24]",78851,Lifestyle Studio,Photo Studio,https://www.tagvenue.com/sg/rooms/singapore/78851/aria-atelier/lifestyle-studio?event-offer=wedding,46637,Aria Atelier,Private space,Photo / Film Studio,https://www.tagvenue.com/sg/venues/singapore/46637/aria-atelier
6 Fort Canning Road ,Dhoby Ghaut,450,490,"[1, 2, 3, 7, 9, 10, 14, 15, 17, 1001]",Singapore,Chinese,False,1.2973558000392,103.84579687805,,150 m,Dhoby Ghaut MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""11:30"", ""closes"": ""00:00""}]",179494,S$108,per person,8500,per session,,4.7,0.9078,55,20,"[5, 6, 7, 8, 10, 11, 12, 17, 18]",21820,Meetings and Events,Ballroom,https://www.tagvenue.com/sg/rooms/singapore/21820/ywca-fort-canning/sophia-cooke-ballroom?event-offer=wedding,9605,YWCA Fort Canning,Private space,Hotel,https://www.tagvenue.com/sg/venues/singapore/9605/ywca-fort-canning
11 Cove Drive ,Sentosa,500,500,"[1, 7, 8, 1001]",Singapore,,False,1.2456806525232,103.83989810944,,,,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""09:00"", ""closes"": ""18:00""}]",098497,S$10000,hire fee,-1,NULL,per day,4.6,0.984,21,26,"[3, 5, 7, 8, 11, 12, 13, 17, 18, 20]",19204,Constellation Ballroom,Ballroom,https://www.tagvenue.com/sg/rooms/singapore/19204/one15-marina-sentosa-cove/constellation-ballroom?event-offer=wedding,8606,ONE°15 Marina Sentosa Cove,Private space,Hotel,https://www.tagvenue.com/sg/venues/singapore/8606/one015-marina-sentosa-cove
Solstice Business Centre ,Tai Seng,80,80,"[7, 16, 18, 1000, 1001]",Singapore,,False,1.3433792,103.8850996,,600 m,Bartley MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""00:00"", ""closes"": ""23:59""}]",536209,S$195,hire fee,-1,NULL,per hour,4.7,0.9794,602,24,"[5, 6, 7, 8, 9, 10, 12, 16, 17, 18, 19]",81252,Kolour カラー,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/81252/kolour/kolour,48948,Kolour カラー,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/48948/kolour
116 Changi Road #02-15 WIS @ Changi,Geylang East,80,100,"[1, 16, 1000, 1001]",Singapore,Singaporean,True,1.3164491,103.9012131,,450 m,Eunos MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""09:00"", ""closes"": ""22:30""}]",419718,S$100,hire fee,-1,NULL,per hour,4.7,1,0,36,"[5, 6, 7, 9, 10, 12, 17, 18, 19, 20, 24, 25]",97408,#BigMemories,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/97408/our-little-space-wis/bigmemories,58114,Our Little Space (WIS),Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/58114/our-little-space-wis
"23 Kaki Bukit Road 4 #01-18B, Synergy@KB",Kaki Bukit,50,50,"[7, 16, 1000, 1001]",Singapore,Singaporean,True,1.3399902866089,103.91118246931,,650 m,Kaki Bukit MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""00:00"", ""closes"": ""23:59""}]",417801,S$80,hire fee,-1,NULL,per hour,4.6,1,1,44,"[5, 6, 7, 9, 12, 17, 19, 26, 27]",82020,Kulusuk Lifestyle Studio,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/82020/kulusuk/kulusuk-lifestyle-studio,49408,Kulusuk,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/49408/kulusuk
60 Stevens Road ,Nassim,200,200,"[1, 2, 7, 9, 10, 15, 16, 19, 20, 21]",Singapore,,False,1.3165108078231,103.82679820061,,400 m,Stevens MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""08:00"", ""closes"": ""22:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Sunday""], ""opens"": ""15:00"", ""closes"": ""22:00""}]",257854,S$29,per person,-1,NULL,,4.5,0.993,7,105,"[5, 7, 8, 10, 11, 12]",14256,The Vine Ballroom,Ballroom,https://www.tagvenue.com/sg/rooms/singapore/14256/metro-y-hotel-singapore/the-vine-ballroom?event-offer=wedding,6559,Metro Y Hotel Singapore,Private space,Hotel,https://www.tagvenue.com/sg/venues/singapore/6559/metro-y-hotel-singapore
40 Sam Leong Road ,Little India,80,120,"[7, 16, 1000, 1001]",Singapore,,True,1.3097843,103.8565905,,400 m,Farrer Park MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""08:00"", ""closes"": ""00:00""}]",207930,S$2100,per event,-1,NULL,,4.8,1,100,45,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 19]",65343,Entire Venue,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/65343/highfive-double-storey/entire-venue?event-offer=wedding,33802,HIGHfive Double Storey,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/33802/highfive-double-storey
20 Jalan Kilang Level 4,Alexandra Hill,150,200,"[7, 16, 18, 1000, 1001]",Singapore,,False,1.2858102,103.8087208,,,,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""00:00"", ""closes"": ""23:59""}]",159418,S$500,hire fee,-1,NULL,per hour,0,0.9688,32,0,"[5, 6, 7, 8, 9, 10, 12, 13, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28]",114802,Event Space,Event Space,https://www.tagvenue.com/sg/rooms/singapore/114802/the-vortex-space/event-space,67691,The Vortex Space,Private space,Event Venue,https://www.tagvenue.com/sg/venues/singapore/67691/the-vortex-space
2 Jurong Gateway Road ,Toh Guan,50,50,"[17, 1000, 1001, 1]",Singapore,,False,1.3367308,103.7457065,,550 m,Jurong East MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""09:00"", ""closes"": ""19:00""}]",608512,S$40,hire fee,-1,NULL,per hour,5,0.9189,11,1,"[3, 6, 7, 9, 17, 18, 19]",80744,Beige Area,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/80744/climahaus-at-world-farm-jurong-play-grounds/beige-area,48556,ClimaHaus @ World Farm Jurong Play Grounds,Semi-private area,Event Venue,https://www.tagvenue.com/sg/venues/singapore/48556/climahaus-at-world-farm-jurong-play-grounds
34 South Bridge Road ,Singapore City Centre,60,100,"[1, 7, 16, 8, 1000, 1001]",Singapore,,False,1.288195,103.8485387,,200 m,Clarke Quay MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""17:00"", ""closes"": ""00:00""}]",058668,S$1000,hire fee,-1,NULL,per evening,5,0.9672,98,1,"[3, 5, 6, 7, 9, 10, 11, 12, 13, 16, 17, 18, 19]",84555,Outdoor Event Space,Outdoor Space,https://www.tagvenue.com/sg/rooms/singapore/84555/mortaf3/outdoor-event-space?event-offer=wedding,50957,Mortaf3,Private space,Event Venue,https://www.tagvenue.com/sg/venues/singapore/50957/mortaf3
"Bain Street 231, Bras Basah Complex #04-07",Bugis,80,90,"[7, 16, 1000, 1001]",Singapore,,False,1.2969044,103.8535693,,300 m,Bras Basah MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday""], ""opens"": ""08:00"", ""closes"": ""22:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""08:00"", ""closes"": ""23:00""}]",180231,S$175,hire fee,-1,NULL,per hour,4.7,0.9956,10,21,"[5, 7, 8, 12, 17, 18, 19, 22]",56758,City Space with Vintage Vibe,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/56758/room2f-at-bras-basah-complex/city-space-with-vintage-vibe,27722,room2f at Bras Basah Complex,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/27722/room2f-at-bras-basah-complex
11 Rhu Cross ,Tanjong Rhu,120,180,"[1, 7, 8, 1001]",Singapore,American,False,1.2949495215818,103.86658010058,,650 m,Nicoll Highway MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday""], ""opens"": ""17:00"", ""closes"": ""22:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday"", ""Sunday""], ""opens"": ""10:00"", ""closes"": ""22:00""}]",437440,S$60,per person,6000,per session,per session,0,1,1,0,"[5, 6, 7, 8, 9, 12, 17, 18, 20]",102878,Whole Venue,Restaurant,https://www.tagvenue.com/sg/rooms/singapore/102878/kontiki-bar-restaurant/whole-venue,60392,Kontiki Bar & Restaurant,Whole venue,Restaurant,https://www.tagvenue.com/sg/venues/singapore/60392/kontiki-bar-restaurant
11 Canning Walk ,Dhoby Ghaut,700,800,"[1, 2, 7, 14, 15, 17, 20, 8, 1001]",Singapore,Chinese,False,1.295966,103.8454732,,300 m,Dhoby Ghaut MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday""], ""opens"": ""08:00"", ""closes"": ""23:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday"", ""Sunday""], ""opens"": ""09:00"", ""closes"": ""23:00""}]",178881,S$120,per person,12000,per session,per session,4.2,0.919,313,5,"[3, 5, 6, 7, 9, 10, 11, 12, 13, 16, 17, 18, 19, 27]",103050,Grand Ballroom,Ballroom,https://www.tagvenue.com/sg/rooms/singapore/103050/mett-singapore/grand-ballroom,61251,METT Singapore,Private space,Hotel,https://www.tagvenue.com/sg/venues/singapore/61251/mett-singapore
6 Changi Village Road #01-01/02,Changi Point,200,220,"[1, 14, 15, 8, 1000, 1001]",Singapore,American,False,1.3899453,103.9885992,,,,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Tuesday"", ""Wednesday"", ""Thursday""], ""opens"": ""12:00"", ""closes"": ""23:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Friday"", ""Saturday""], ""opens"": ""12:00"", ""closes"": ""00:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Sunday""], ""opens"": ""12:00"", ""closes"": ""22:00""}]",509907,S$50,minimum spend,2000000,per session,per session,0,0.9667,104,0,"[5, 6, 8, 9, 12, 13, 16, 17, 18]",62405,Entire Venue,Event Space,https://www.tagvenue.com/sg/rooms/singapore/62405/little-island-brewing-co-changi-village/entire-venue?event-offer=wedding,31190,Little Island Brewing Co. - Changi Village,Whole venue,Winery / Brewery,https://www.tagvenue.com/sg/venues/singapore/31190/little-island-brewing-co-changi-village
107 Desker Road Level Two,Little India,50,50,"[7, 16, 1000, 1001]",Singapore,,True,1.3084123,103.856354,,350 m,Jalan Besar MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""06:00"", ""closes"": ""03:00""}]",209629,S$72,hire fee,-1,NULL,per hour,4.8,0.9977,0,119,"[5, 6, 7, 8, 9, 11, 17, 18]",56369,Level Two Space,Event Space,https://www.tagvenue.com/sg/rooms/singapore/56369/level-two-space/level-two-space,22203,Level Two Space,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/22203/level-two-space
36 Robinson Road #01-01 City House,Cecil,140,200,"[1, 14, 20, 8, 1000, 1001]",Singapore,Asian,False,1.2812688,103.850022,,200 m,Telok Ayer MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday""], ""opens"": ""11:30"", ""closes"": ""22:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday""], ""opens"": ""17:00"", ""closes"": ""22:00""}]",068877,S$39,per person,7000,per session,,4.8,0.9711,282,4,"[5, 6, 7, 8, 9, 12, 17, 18]",79923,Whole Venue,Restaurant,https://www.tagvenue.com/sg/rooms/singapore/79923/vatos-city-house/whole-venue?event-offer=wedding,45926,Vatos - City House,Whole venue,Restaurant,https://www.tagvenue.com/sg/venues/singapore/45926/vatos-city-house
