address,area,capacity_seated,capacity_standing,catering_options,city,cuisine,is_supervenue,lat,lng,min_attendees,mrt_distance,mrt_station,opening_hours,postcode,price,price_method,price_per_person,price_per_person_type,price_type,rating,response_rate,response_time_min,reviews,room_features,room_id,room_name,space_type,url,venue_id,venue_name,venue_part,venue_type,venue_url
340 Joo Chiat Road ,Katong,50,80,"[1, 20, 8, 1000, 1001]",Singapore,Italian,False,1.3089554,103.9026378,,,,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""12:00"", ""closes"": ""23:00""}]",427592,S$1500,minimum spend,-1,NULL,per session,0,1,247,0,"[6, 7, 12, 17, 19]",104341,Entire Restaurant,Restaurant,https://www.tagvenue.com/sg/rooms/singapore/104341/dough-it-yourself/entire-restaurant,61967,Dough it Yourself,Whole venue,Restaurant,https://www.tagvenue.com/sg/venues/singapore/61967/dough-it-yourself
97 East Coast Road ,Katong,80,80,"[1, 14, 20, 8, 1000, 1001]",Singapore,Indian,False,1.3056658,103.9041394,,,,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Sunday""], ""opens"": ""11:30"", ""closes"": ""23:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Friday"", ""Saturday""], ""opens"": ""11:30"", ""closes"": ""00:00""}]",428794,S$40,per person,4000,per session,per session,0,0,0,0,"[5, 6, 7, 9, 12, 16, 17, 18]",107651,Entire Venue,Restaurant,https://www.tagvenue.com/sg/rooms/singapore/107651/bombay-garden/entire-venue,63932,BOMBAY GARDEN,Whole venue,Restaurant,https://www.tagvenue.com/sg/venues/singapore/63932/bombay-garden
41 Robertson Quay 76/76A,Singapore City Centre,18,28,"[1, 2, 3, 14, 15, 8, 1000, 1001]",Singapore,French,False,1.2910762872385,103.84027939663,,500 m,Fort Canning MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Sunday""], ""opens"": ""18:00"", ""closes"": ""00:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""12:00"", ""closes"": ""00:00""}]",238236,S$3564,minimum spend,21000,per afternoon,per afternoon,0,0.7407,0,0,"[3, 5, 7, 16, 17]",14043,The Dining Room at JAG,Dining Room,https://www.tagvenue.com/sg/rooms/singapore/14043/restaurant-jag/the-dining-room-at-jag,6370,Restaurant JAG,Private space,Restaurant,https://www.tagvenue.com/sg/venues/singapore/6370/restaurant-jag
58 Palawan Beach Walk ,Sentosa,110,110,"[1, 2, 20, 8, 1000, 1001]",Singapore,Greek,False,1.2501783374947,103.82083854321,,,,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday""], ""opens"": ""12:00"", ""closes"": ""21:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Tuesday"", ""Wednesday"", ""Thursday""], ""opens"": ""12:30"", ""closes"": ""21:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Friday"", ""Saturday""], ""opens"": ""11:00"", ""closes"": ""21:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Sunday""], ""opens"": ""11:00"", ""closes"": ""20:00""}]",098235,S$15000,minimum spend,-1,NULL,per day,0,0,0,0,"[6, 7, 12, 17]",117397,Entire Venue,Restaurant,https://www.tagvenue.com/sg/rooms/singapore/117397/blu-kouzina-sentosa/entire-venue,67633,Blu Kouzina Sentosa,Whole venue,Restaurant,https://www.tagvenue.com/sg/venues/singapore/67633/blu-kouzina-sentosa
3A River Valley Road #02-03,Singapore City Centre,200,200,"[1, 21, 8, 1000, 1001]",Singapore,Asian,False,1.2903646,103.8448929,,250 m,Fort Canning MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""17:00"", ""closes"": ""01:00""}]",179020,S$10000,minimum spend,-1,NULL,per evening,0,0.726,393,0,"[5, 6, 7, 9, 12, 13, 16, 17, 18, 19]",71139,Event Space,Event Space,https://www.tagvenue.com/sg/rooms/singapore/71139/home-dawn-dusk/event-space,39222,HOME Dawn & Dusk,Whole venue,Restaurant,https://www.tagvenue.com/sg/venues/singapore/39222/home-dawn-dusk
39 Syed Alwi Road ,Jalan Besar,20,35,"[1, 8, 1000, 1001]",Singapore,,False,1.3069437,103.8584695,,350 m,Jalan Besar MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""17:30"", ""closes"": ""22:30""}]",207630,S$2000,hire fee,-1,NULL,per session,5,0.8,293,1,"[5, 12]",32605,Whiskey Library & Jazz Club,Bar,https://www.tagvenue.com/sg/rooms/singapore/32605/the-vagabond-club-singapore/whiskey-library-jazz-club,8946,The Vagabond Club Singapore,Private space,Hotel,https://www.tagvenue.com/sg/venues/singapore/8946/the-vagabond-club-singapore
5 Straits View #04-02,Central Subzone,70,120,"[1, 20, 8, 1000, 1001]",Singapore,Singaporean,False,1.2777581,103.852778,,200 m,Downtown MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""11:30"", ""closes"": ""22:30""}]",018935,S$5500,minimum spend,-1,NULL,per session,0,1,230,0,"[5, 6, 7, 8, 12, 17, 18]",74977,Full Buyout,Restaurant,https://www.tagvenue.com/sg/rooms/singapore/74977/wakanui-grill-dining-singapore/full-buyout,42727,WAKANUI GRILL DINING SINGAPORE,Whole venue,Restaurant,https://www.tagvenue.com/sg/venues/singapore/42727/wakanui-grill-dining-singapore
26 Sentosa Gateway #01-71/83/84/85,Sentosa,80,150,"[1, 20, 8, 1000, 1001]",Singapore,British,False,1.2562424134,103.82108958901,,,,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""11:00"", ""closes"": ""23:00""}]",098138,S$50,per person,5000,per session,per session,0,1,0,0,"[6, 9, 12]",113443,Entire Venue,Restaurant,https://www.tagvenue.com/sg/rooms/singapore/113443/harrys-resort-world-sentosa/entire-venue,66993,Harry’s Resort World Sentosa,Whole venue,Restaurant,https://www.tagvenue.com/sg/venues/singapore/66993/harry-s-resort-world-sentosa
26 Beach Road ,Bugis,37,60,"[1, 15, 20, 8, 1000, 1001]",Singapore,Indian,False,1.2941884296097,103.85578715218,,100 m,Esplanade MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""12:00"", ""closes"": ""22:00""}]",189768,S$75,per person,7500,per session,per session,0,1,576,0,"[5, 6, 12]",90495,Indoor Area,Dining Room,https://www.tagvenue.com/sg/rooms/singapore/90495/bombay-brasserie/indoor-area,53413,Bombay Brasserie,Private space,Restaurant,https://www.tagvenue.com/sg/venues/singapore/53413/bombay-brasserie
3D River Valley Road #01-07,Singapore City Centre,35,60,"[1, 8, 1000, 1001]",Singapore,Mexican,False,1.2896351285187,103.84533822462,,200 m,Clarke Quay MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Sunday""], ""opens"": ""12:00"", ""closes"": ""23:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Friday"", ""Saturday""], ""opens"": ""12:00"", ""closes"": ""01:00""}]",179023,S$35,per person,3500,per session,per session,0,1,0,0,"[5, 7, 12, 17, 18]",92401,Indoor Space,Dining Room,https://www.tagvenue.com/sg/rooms/singapore/92401/rico-rico/indoor-space,55208,Rico Rico,Private space,Restaurant,https://www.tagvenue.com/sg/venues/singapore/55208/rico-rico
