address,area,capacity_seated,capacity_standing,event_types,fast_response,lat,lng,mrt_station,name,price,price_unit,rating,response_time,reviews,rooms_count,slug,url
"23 New Industrial Rd, Solstice Business Centre, Singapore 536209","Paya Lebar, Tai Seng",100,120,"[""Birthday"", ""Baby Shower"", ""Kid's 1st Birthday""]",False,1.3432311,103.8854051,Bartley MRT Station (650 m),ARC.,S$220,Per hour,0,,0,1,arc,https://www.venuerific.com/sg/venues/arc
"11 Cove Drive, #01-01, Sentosa Cove, Singapore 098497","HarbourFront, Sentosa",800,500,"[""Conference"", ""Party"", ""Wedding""]",True,1.2455711,103.8397398, VivoCity/HarbourFront MRT ,ONE°15 Marina Sentosa Cove,S$65,Per pax,0,4 hrs,0,4,one-15-marina-sentosa-cove,https://www.venuerific.com/sg/venues/one-15-marina-sentosa-cove
"41 Beach Rd, #02 01, Singapore 189680","Bugis, City Hall, Esplanade",70,70,"[""Corporate Seminar"", ""Birthday"", ""Wedding""]",True,1.2962347,103.8558084,Esplanade (CC3),Unfolded,S$340,Min spend,0,,0,2,unfolded,https://www.venuerific.com/sg/venues/unfolded
"109 Mount Faber Rd, Singapore 099203","Bukit Merah, HarbourFront",200,350,[],True,1.2712211,103.819556,Harbourfront,Mount Faber Peak Event Space,"S$5,000",Min spend,0,6 hrs,0,4,mount-faber-peak-event-space,https://www.venuerific.com/sg/venues/mount-faber-peak-event-space
"12 Orange Grove Rd, Singapore 258353",Orchard,100,150,"[""Media Event"", ""Product Launch"", ""Company Cocktail Party""]",False,,,,The Standard Singapore,"S$2,000",Min spend,0,,0,3,the-standard-singapore,https://www.venuerific.com/sg/venues/the-standard-singapore
"20 Norris Rd, Singapore 208262","Farrer Park, Jalan Besar, Little India",82,120,"[""Wedding"", ""ROM""]",False,1.3079143,103.8536569,Jalan Besar MRT Station,Lotus@Norris,S$180,Per hour,0,,0,0,lotus-norris,https://www.venuerific.com/sg/venues/lotus-norris
"80 Mandai Lake Rd, Singapore 729826","Bukit Batok, Woodlands, Yishun",500,1300,"[""Corporate Seminar"", ""Team Building""]",False,1.4049843,103.7905489,,Mandai Wildlife Reserve,"S$1,200",Min spend,0,,0,5,mandai-wildlife-reserve,https://www.venuerific.com/sg/venues/mandai-wildlife-reserve
"217 Lavender St., Singapore 338772",Kallang,100,130,"[""Corporate Seminar"", ""Product Launch""]",False,1.3146296,103.8596793,Bendemeer MRT Station,HAUS217 ,S$650,Min spend,0,,0,0,haus217,https://www.venuerific.com/sg/venues/haus217
"10 Changi Coast Walk, #5th Floor of Sky Range, Singapore 499739",Changi,200,200,"[""Company Cocktail Party"", ""Party""]",False,1.3206738,103.9742651,"Expo MRT Station,",VIVA LOCA INTERNATIONAL @ NSRCC,,,5.0,,2,3,viva-loca-international-nsrcc,https://www.venuerific.com/sg/venues/viva-loca-international-nsrcc
"100 Loewen Rd, Singapore 248837",Tanglin,700,700,"[""Product Launch"", ""Product Exhibition"", ""Party""]",False,1.30273,103.812423,Napier MRT Station,Museum Of Ice Cream,S$500,Min spend,0,,0,4,museum-of-ice-cream,https://www.venuerific.com/sg/venues/museum-of-ice-cream
"1 Empress Pl, #01-03 Asian Civilisations Museum, Singapore 179555",Raffles Place,180,270,"[""Business Luncheon"", ""Business Dinner"", ""Company Dinner and Dance""]",True,1.2873802,103.8512492,Raffles Place MRT (Exit H)  ,Waterfront Event Space at ACM,"S$7,500",Min spend,0,22 hrs,0,1,waterfront-event-space-at-acm,https://www.venuerific.com/sg/venues/waterfront-event-space-at-acm
"190 Keng Lee Rd, #01-02 Chui Huay Lim Club, Singapore 308409","Bukit Timah, Newton, Novena",690,690,"[""Conference"", ""Wedding""]",False,1.3140788,103.8415298,Newton MRT Station,Chui Huay Lim Teochew Cuisines ,S$799,Per full-day,0,,0,5,chui-huay-lim-teochew-cuisines,https://www.venuerific.com/sg/venues/chui-huay-lim-teochew-cuisines
"120 Tanjong Beach Walk, Singapore 098942",Sentosa,500,600,"[""Corporate Retreat"", ""Party""]",False,1.243299,103.828128,HarbourFront,Tanjong Beach Club,"S$6,500",Min spend,0,,0,4,tanjong-beach-club-1,https://www.venuerific.com/sg/venues/tanjong-beach-club-1
"1 Raffles Blvd, Singapore 039593","Marina Bay, Promenade, Raffles Place",900,900,"[""Corporate Seminar"", ""Conference""]",True,1.2936739,103.8572447,Esplanade MRT Station,Suntec Convention Hall,,,0,15 hrs,0,0,suntec-convention-hall,https://www.venuerific.com/sg/venues/suntec-convention-hall
"30 Victoria St, #01-31 CHIJMES, Singapore 187996","Clarke Quay, Raffles Place",100,150,"[""Business Dinner"", ""Party""]",True,1.2948011,103.8519822,City Hall MRT Station,Lebua Thai,"S$2,000",Min spend,0,7 hrs,0,0,lebua-thai,https://www.venuerific.com/sg/venues/lebua-thai
"23 Merchant Rd, Singapore 058268","Clarke Quay, Havelock, Orchard",50,200,"[""Board Meeting"", ""Team Building"", ""Party""]",True,1.287965,103.8446657,Clarke Quay,Park Regis by Prince Singapore  ,S$500,Per half-day,0,21 hrs,0,4,park-regis-by-prince-singapore,https://www.venuerific.com/sg/venues/park-regis-by-prince-singapore
"252 N Bridge Rd, #03-22B Fairmont Singapore South Tower, Singapore 179103","City Hall, Esplanade",220,220,"[""Party"", ""Wedding""]",True,1.2942187,103.8534304,Bus Stop,Asia Grand Restaurant,"S$1,200",Min spend,0,,0,3,asia-grand-restaurant,https://www.venuerific.com/sg/venues/asia-grand-restaurant
"3D River Valley Rd, Singapore 179023",Clarke Quay,100,100,"[""Business Breakfast"", ""Business Luncheon"", ""Business Dinner""]",True,1.2899366,103.8456239,Clarke Quay MRT Station (200 m),Mexican Bar and Grill @ Clarke Quay,S$48,Min spend,0,16 hrs,0,0,mexican-bar-and-grill-clarke-quay,https://www.venuerific.com/sg/venues/mexican-bar-and-grill-clarke-quay
"Anson Rd, 81, Singapore 079908","Chinatown, Marina Bay, Tanjong Pagar",320,320,[],True,1.273767,103.8450399,Tanjong Pagar MRT Station, M Hotel Singapore ,"S$1,000",Min spend,0,,0,4,m-hotel-singapore,https://www.venuerific.com/sg/venues/m-hotel-singapore
"7 Raffles Blvd, Marina Square, Singapore 039594",Marina Bay,800,800,[],True,1.2911534,103.8576778,Promenade MRT Station,The Pan Pacific Hotel Singapore,"S$1,000",Min spend,4.7,14 hrs,3,14,the-pan-pacific-hotel-singapore,https://www.venuerific.com/sg/venues/the-pan-pacific-hotel-singapore
"66 Seletar Aerospace View, #66 Level 1 WOA Aviation Hangar, 66, Singapore 797509",Seletar,300,350,"[""Corporate Retreat"", ""Corporate Seminar"", ""Product Launch""]",False,1.4126938,103.8697186,Punggol MRT Station,WingsOverAsia,S$240,Min spend,0,,0,4,wingsoverasia,https://www.venuerific.com/sg/venues/wingsoverasia
"300 Tampines Ave 5, Singapore 529653","Pasir Ris, Tampines",80,120,"[""Business Reception"", ""Party"", ""Wedding""]",False,1.3523847,103.9420504,Tampines MRT (EW2 / DT32),The Waddle Room,"S$3,000",Per half-day,0,,0,0,the-waddle-room,https://www.venuerific.com/sg/venues/the-waddle-room
"159W Jln. Loyang Besar, Singapore 507020","Changi, Pasir Ris",100,200,[],False,1.3807526,103.9613142,Pasir Ris MRT Station,Beachfront event space in Pasir Ris,S$25,Min spend,0,,0,0,beachfront-event-space-in-pasir-ris,https://www.venuerific.com/sg/venues/beachfront-event-space-in-pasir-ris
"323 Alexandra Rd, Singapore 159972","Alexandra, Queenstown",120,120,"[""Corporate Seminar"", ""Wedding""]",True,1.2876691,103.8053306,Queenstown MRT Station,Momentus Hotel Alexandra,S$950,Per full-day,0,4 hrs,0,0,momentus-hotel-alexandra,https://www.venuerific.com/sg/venues/momentus-hotel-alexandra
"2 Netheravon Rd, Block B Civil Service Club @ Changi, Singapore 508503",Changi,500,500,[],False,1.3913305,103.9862634,Changi Airport MRT Station,Garden-themed restaurant in Changi Village,"S$6,000",Min spend,0,,0,4,garden-themed-restaurant-in-changi-village,https://www.venuerific.com/sg/venues/garden-themed-restaurant-in-changi-village
"33 Hyderabad Road, #02-02 Hort Park, Singapore 119578",Queenstown,144,160,[],False,1.2789216,103.8014419,Labrador Park MRT Station,Romantic garden venue in HortPark,"S$3,500",Min spend,0,,0,0,romantic-garden-venue-in-hortpark,https://www.venuerific.com/sg/venues/romantic-garden-venue-in-hortpark
"231 Outram Rd, Singapore 169040","Bukit Merah, Outram",50,100,"[""Company Dinner and Dance"", ""Solemnisation""]",False,1.284303,103.835085,Outram Park MRT Station,Private function room in Tiong Bahru,"S$1,500",Per full-day,0,,0,0,private-function-room-in-tiong-bahru,https://www.venuerific.com/sg/venues/private-function-room-in-tiong-bahru
"2 Serangoon Rd, Rooftop Level, Singapore 218227","Bugis, Jalan Besar, Little India",80,100,[],True,1.3050631,103.8514261,Little India MRT Station,Luxurious event space in Orchard,"S$3,500",Min spend,5.0,2 hrs,2,0,luxurious-event-space-in-orchard,https://www.venuerific.com/sg/venues/luxurious-event-space-in-orchard
