id,name,slug,vendorType,state,city,address,postCode,capacityMin,capacityMax,packagePrice,packageGuestMin,packageGuestMax
4f61505e-6a95-4bce-bc76-6347023d6646,The Luna Grand Ballroom Kuala Lumpur,the-luna-grand-ballroom-kuala-lumpur,venue,Kuala Lumpur,Kuala Lumpur,"Level 7, Wisma IAV, 86, Jalan Pasar, Pudu, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",55100,1,400,208,100,400
1791e673-0c10-4535-94e1-508a869ca74a,Ukay Hills - Private Event Estate & Lifestyle Suites,ukay-hills-private-event-estate-lifestyle-suites,venue,Selangor,Ampang,"Jalan Kelab Ukay Utama, Bukit Antarabangsa, 68000 Ampang, Selangor, Malaysia",68000,1,550,2288,10,550
eaa044b1-e58f-4dac-8f57-8ca268e7bae9,The Grey Box (GMBB),the-grey-box-gmbb,venue,Kuala Lumpur,Kuala Lumpur,"2, Jalan Robertson, Bukit Bintang, 50150 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50150,50,150,8000,80,150
c151ae60-e536-42d5-9aae-7e432cef9e0f,RAMA V,rama-v,venue,Kuala Lumpur,Kuala Lumpur,"5, Jalan U Thant, Kelab Golf di Raja Selangor, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",55000,50,180,138,50,180
09a0ef97-9e0c-4cf3-83a1-396fcabc1133,Maison Eleven - Lifestyle Event Venue,maison-eleven-lifestyle-event-venue,venue,Selangor,Shah Alam,"Level 11, Courtyard By Marriott, Jln Setia Dagang AH U13/AH, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",40170,1,250,200,200,250
bfd917d9-4155-4dd8-8fd8-08b49e647516,M World Hotel Petaling Jaya,m-world-hotel-petaling-jaya,venue,Selangor,Petaling Jaya,"1, Persiaran Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia",47800,50,500,198,100,500
eb0ab8f1-c862-4b02-a710-9e6dc366214a,Pullman KLCC Hotel,pullman-klcc-hotel,venue,Kuala Lumpur,Kuala Lumpur,"4, Jalan Conlay, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50450,100,420,198,50,200
8f62ed2e-00ac-47a0-909e-31289f9d3e87,Petaling Jaya Marriott Hotel,eastin-hotel,venue,Selangor,Petaling Jaya,"13, Jalan 16/11, Seksyen 16, 46350 Petaling Jaya, Selangor, Malaysia",46350,100,400,228,250,300
9371d852-d43d-4fca-a80a-90bf29bf0eb0,ELSE Kuala Lumpur,else-kuala-lumpur,venue,Kuala Lumpur,Kuala Lumpur,"145, Jalan Tun H S Lee, City Centre, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50000,30,100,10000,40,120
018ef9db-2965-4f50-aaf5-d2d757e7e4d5,WG Glassbox Cyberjaya,wg-glassbox-cyberjaya,venue,Selangor,Cyberjaya,"Level 4, Block E, Park at L2, Tamarind Square, Persiaran Multimedia, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",63000,50,150,16500,50,150
dd140604-64f0-4259-afd0-9dda3aa8754d,Glasshouse at Seputeh,glasshouse-at-seputeh,venue,Kuala Lumpur,Kuala Lumpur,"17, Lorong Syed Putra Kiri, Bukit Seputeh, 50460 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50460,100,400,10000,50,400
9f340f44-4556-4a41-bdcf-b71897a0e977,Colony @ The MET,colony-the-met,venue,Kuala Lumpur,Kuala Lumpur,"20, Jalan Dutamas 2, Kompleks Kerajaan, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50480,100,300,21300,100,400
5886229a-18f0-4e69-9dd0-c6bfb5676499,Mandarin Oriental Kuala Lumpur,mandarin-oriental-kuala-lumpur,venue,Kuala Lumpur,Kuala Lumpur,"Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50088,0,1100,488,250,1100
6139379e-dce7-43a5-b476-82d27112c6c7,Royale Chulan Kuala Lumpur,royale-chulan-kuala-lumpur,venue,Kuala Lumpur,Kuala Lumpur,"5, Jalan Conlay, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50450,100,1500,2330,300,1500
79c9ec46-2935-45fb-98c3-25679c60341f,Sheraton Imperial KL,sheraton-imperial-kl,venue,Kuala Lumpur,Kuala Lumpur,"Jln Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50250,0,1000,352,250,1000
62574c01-8899-4b15-ab97-eef14f48e39d,Imperial Lexis Kuala Lumpur,imperial-lexis-kuala-lumpur,venue,Kuala Lumpur,Kuala Lumpur,"15, Jalan Kia Peng, Kuala Lumpur, 50450 Wilayah Persekutuan, Wilayah Persekutuan Kuala Lumpur, Malaysia",50450,10,360,388,250,300
3a91cbf2-2ea5-4cd3-a02b-b53f11941644,Boathouse By The Lake,boathouse-by-the-lake,venue,Selangor,Ampang,"Tasik Ampang, 5, Jalan Hulu Kelang, Kampung Berembang, 68000 Ampang, Selangor, Malaysia",68000,200,340,38800,150,350
c3f47691-d37e-415c-b4dc-e337071a250a,Sangkot Place,sangkot-place,venue,Selangor,Hulu Langat,"Sangkot Garden, Lot 5373 Batu 15, Dusun Tua, 43100 Hulu Langat, Selangor, Malaysia",43100,100,700,16500,500,1000
cf8a56b8-08f4-45cd-8897-c797c5d2fc11,Changkat Telang 18,changkat-telang-18,venue,Selangor,Hulu Langat,"49, B52, Pekan Batu Lapan Belas, 43100 Hulu Langat, Selangor, Malaysia",43100,300,500,39250,300,500
d202b5f0-3e8a-4e46-a925-3c7fb5081f66,Forest Valley Hall,forest-valley-hall,venue,Selangor,Cheras,"Jalan Permaisuri 10/6, Bandar Mahkota Cheras, 43200 Cheras, Selangor, Malaysia",43200,100,1000,32900,500,1000
821c8d6f-c360-477f-91ce-d74892240526,Ginger KL,ginger-kl,venue,Kuala Lumpur,Kuala Lumpur,"Unit P05, Bamboo Hills, off Lebuhraya Duta Ulu Kelang, Taman Bamboo, Segambut, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",51200,50,120,35000,50,120
977c0fb1-7e68-4dc3-8399-9d630e819503,Lantera Venue,lantera-venue,venue,Selangor,Shah Alam,"Resort Club, Jalan Serindit, Seksyen U 9, Cahaya SPK, 40150 Shah Alam, Selangor, Malaysia",40150,200,500,29900,100,200
af1db338-60d1-4bc4-922d-b1d5748f0202,Tamarind Springs,tamarind-springs,venue,Selangor,Ampang,"Jalan 1, Taman Tun Abdul Razak, 68000 Ampang, Selangor, Malaysia",68000,100,200,7888,100,200
5a50dda4-f747-4695-aed9-806c69d8cfce,The Acres Resort,the-acres-resort,venue,Pahang,Bentong,"lot 28431, Kampung Bukit Tinggi, 28750 Bentong, Pahang, Malaysia",28750,76,150,40000,76,150
fc83bc40-5119-486a-8339-b0cdaa653a59,Club 360 Ecohill ,club-360-setia-ecohill-semenyih,venue,Selangor,Semenyih,"1, Persiaran Ecohill Barat, Setia Ecohill, 43500 Semenyih, Selangor, Malaysia",43500,0,0,66,500,1200
daa8d1bc-aaee-4dfe-9b72-297b3e783d3e,LakePoint Club @ Alam Impian,grand-ballroom-lakepoint-club-setia-alamimpian,venue,Selangor,Shah Alam,"1, Jalan Panglima Hitam 35/26, Seksyen 35, Alam Impian, 40470 Shah Alam, Selangor, Malaysia",40470,,,,,
049ef9e4-d1ac-4d65-8c1d-43084ba4dc01,"Camellia Hall @ Canopy Club, Setia Eco Park",camellia-hall-canopy-club-setia-eco-park-setia-alam,venue,Selangor,Shah Alam,"Setia Eco-park, 40170 Shah Alam, Selangor, Malaysia",40170,100,500,80,50,300
46791565-d65c-44ce-868d-e740a57d63c5,Kebun Rimba Private Estate,kebun-rimba-private-estate,venue,Pahang,Bentong,"Lot PT 12391, Kampung Cheringin, Kampung Janda Baik, 28750 Bentong, Pahang, Malaysia",28750,30,250,9800,20,110
