dinner_price,lunch_price,name,price_lists,profile_url,rating,tables_max,tables_min,tables_range
"$1,488++Mon - Thu$1,688++Friday$1,788++Saturday$1,688++Sunday","$1,588++Mon - Sun",voco Orchard Singapore,"[""https://www.blissfulbrides.sg/banquet/voco-orchard-singapore/wedding-banquet-price-list/wedding-promotion-flyer_2025_sg60-tactical-promo_revised.pdf"", ""https://www.blissfulbrides.sg/banquet/voco-orchard-singapore/wedding-banquet-price-list/wedding-promotion-flyer_2026-weddings.pdf"", ""https://www.blissfulbrides.sg/banquet/voco-orchard-singapore/wedding-banquet-price-list/2025-2026-wedding-packages.pdf""]",https://www.blissfulbrides.sg/detail/1070/voco-orchard-singapore,0,420,100,100 - 420Mon - Sun
$2614–$2734Sun - Fri$2854–$2974Sat -,$2374–$2734Mon - Sun,W Singapore - Sentosa Cove,"[""https://www.blissfulbrides.sg/banquet/w-singapore-sentosa-cove/wedding-banquet-price-list/say-i-do-great-room-lunch.pdf"", ""https://www.blissfulbrides.sg/banquet/w-singapore-sentosa-cove/wedding-banquet-price-list/say-i-do-studios-lunch.pdf"", ""https://www.blissfulbrides.sg/banquet/w-singapore-sentosa-cove/wedding-banquet-price-list/say-i-do-studios-dinner.pdf"", ""https://www.blissfulbrides.sg/banquet/w-singapore-sentosa-cove/wedding-banquet-price-list/say-i-do-great-room-dinner.pdf"", ""https://www.blissfulbrides.sg/banquet/w-singapore-sentosa-cove/wedding-banquet-price-list/wedding_skirt_2024.pdf"", ""https://www.blissfulbrides.sg/banquet/w-singapore-sentosa-cove/wedding-banquet-price-list/wedding_the-kitchen-table_2024.pdf"", ""https://www.blissfulbrides.sg/banquet/w-singapore-sentosa-cove/wedding-banquet-price-list/bachelor-bachelorette-party-at-woobar.pdf"", ""https://www.blissfulbrides.sg/banquet/w-singapore-sentosa-cove/wedding-banquet-price-list/bachelor-bachelorette-party-at-wet-deck.pdf""]",https://www.blissfulbrides.sg/detail/1211/w-singapore-sentosa-cove,0,48,10,10 - 48
$1188++  -  2388++Mon - Sun,$1188++ - 2388++Mon - Sun,Ya Ge Restaurant,"[""https://www.blissfulbrides.sg/banquet/ya-ge-restaurant/wedding-banquet-price-list/ya-ge-wedding-package-march-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/ya-ge-restaurant/wedding-banquet-price-list/ya-ge-solemnisation-package-march-2025.pdf""]",https://www.blissfulbrides.sg/detail/1281/ya-ge-restaurant,0,,,
$1364–$1894Mon - Thu$1436–$2134Fri - Sun,$1364–$1894Mon - Thu$1436–$2134Fri - Sun,York Hotel Singapore,"[""https://www.blissfulbrides.sg/banquet/york-hotel-singapore/wedding-banquet-price-list/2025-2026-wedding-packages.pdf""]",https://www.blissfulbrides.sg/detail/1282/york-hotel-singapore,0,42,10,10 - 42Mon - Sun
$988++Fri - Sun$788++Mon - Thu,$988++Fri - Sun$788++Mon - Thu,YWCA Fort Canning,"[""https://www.blissfulbrides.sg/banquet/ywca-fort-canning/wedding-banquet-price-list/wedding-package-2023_2024-v1.pdf""]",https://www.blissfulbrides.sg/detail/958/ywca-fort-canning,0,23,8,8 - 23Mon - Sun
$988–$1588Mon - Sun,$988–$1588Mon - Sun,Ah Yat Seafood Restaurant,,,,40,10,10 - 40- Sun
$2734–$2734Mon - Fri$2854–$2854Saturday$2734–$2734Sunday,$2614–$2614Mon - Sun,Andaz Singapore,,,,28,6,6 - 28Fri - Sun
$3213–$4412Mon - Sun,$3093–$4412Mon - Sun,Capella Singapore,,,,40,15,15 - 40Mon - Sun
$1424–$1703Mon - Sun,$1424–$1499Mon - Sun,Changi Cove Hotel,,,,22,13,13 - 22Mon - Sun
$1940–$2276Mon - Thu$2036–$2396Friday$2276–$2635Saturday$2156–$2516Sunday,$1940–$2276Mon - Thu$2036–$2396Friday$2276–$2635Saturday$2156–$2516Sunday,CHIJMES Hall Singapore,,,,30,12,12 - 30Mon - Thu16 - 30Friday20 - 30Saturday16 - 30Sunday
$2024–$2623Mon - Thu$2264–$2743Friday$2504–$2863Saturday$2264–$2743Sunday,$2024–$2623Mon - Sun,Conrad Singapore Orchard,,,,50,10,10 - 50Mon - Sun
$824Mon - Sun,$824Mon - Sun,Crystal Jade Prestige,,,,7,3,3 - 7Mon - Thu
$226++ - $300++Mon - Sun,$NAMon - Sun,Flutes,"[""banquet//wedding-banquet-price-list/flutes-wedding-dinner-solemnisation-for-88-persons.pdf""]",,,30,10,10 - 30Mon - Sun
$2623–$3693Mon - Fri$2863–$3693Saturday$2623–$3693Sunday,$2504–$3693Mon - Sun,Four Seasons Hotel Singapore,,,,30,3,3 - 30Mon - Sun
$1005–$1844Mon - Thu$1197–$2084Fri - Sun,$1005–$1844Mon - Thu$1125–$2024Fri - Sun,Fu Lin Men (Chinese Swimming Club),,,,25,12,12 - 25Mon - Sun
$1005–$1844Mon - Thu$1125–$2084Sat - Sun,$1005–$1844Mon - Thu$1041–$2024Fri - Sun,Fu Lin Men (National Service Resort & Country Club),,,,36,12,12 - 36Mon - Sun
$1005–$1844Mon - Thu$1197–$2084Fri - Sun,$1005–$1844Mon - Thu$1125–$2024Fri - Sun,Fu Lin Men (Temasek Club),,,,21,12,12 - 21Mon - Sun
$1161–$1760Mon - Thu$1520–$2120Fri - Sun,$1161–$1760Mon - Thu$1436–$2036Fri - Sun,Fu Lin Men Grandeur,,,,36,12,12 - 36Mon - Sun
$$1544–$1700Mon - Fri$$1568–$1784Saturday$$1544–$1700Sunday,$1424–$1616Mon - Sun,"Furama RiverFront, Singapore",,,,55,10,10 - 55Mon - Sun
$2024–$2024Mon - Thu$2276–$2276Fri - Sun,$2024–$2024Mon - Sun,Goodwood Park Hotel,,,,35,12,12 - 35Mon - Sun
$986Mon - Sun,$986Mon - Sun,Grand Banquet,,,,38,15,15 - 38Mon - Sun
$2264–$2743Mon - Fri$2504–$2983Saturday$2384–$2863Sunday,$2264–$2743Mon - Sun,Grand Hyatt Singapore,,,,36,15,15 - 36Mon - Sun
$2024–$2024Mon - Sun,$2024–$2024Mon - Sun,Grand Mercure Singapore Roxy,,,,35,10,10 - 35Mon - Sun
$1784–$2384Mon - Sun,$1784–$2384Mon - Sun,Grand Shanghai,,,,25,20,20 - 25Mon - Sun
