location,name,price_lists,profile_url,source,vendor_name,venue_id
"1 Netheravon Road, Singapore 508502",Infinity,"[""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/impian-selamanya.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/timeless-union-a5-brochure-western.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/eternal-vows-a5-brochure-chinese.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/eternal-vows-a5-brochure-buffet.pdf""]",https://www.blissfulbrides.sg/detail/177/Village-Hotel-Changi,wedding-venues-booking,Village Hotel Changi,228
"9 Kent Ridge Drive, Singapore 119241",Kent Ridge Guild House,"[""https://www.blissfulbrides.sg/banquet/the-national-university-of-singapore-society-nuss-/wedding-banquet-price-list/mandalay-guild-house-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/the-national-university-of-singapore-society-nuss-/wedding-banquet-price-list/suntec-city-guild-house-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/the-national-university-of-singapore-society-nuss-/wedding-banquet-price-list/kent-ridge-guild-house-2025.pdf""]",https://www.blissfulbrides.sg/detail/1337/The-National-University-of-Singapore-Society--NUSS-,wedding-venues-booking,The National University of Singapore Society (NUSS),205
"11 Laguna Golf Green, Singapore 488047",Laguna Ballroom,"[""https://www.blissfulbrides.sg/banquet/dusit-thani-laguna-singapore/wedding-banquet-price-list/dusit-thani-laguna-singapore-property-fact-sheet_jun-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/dusit-thani-laguna-singapore/wedding-banquet-price-list/timeless-symphonies-wedding-brochure.pdf""]",https://www.blissfulbrides.sg/detail/810/Dusit-Thani-Laguna-Singapore,wedding-venues-booking,Dusit Thani Laguna Singapore,202
"11 Laguna Golf Green, Singapore 488047",Laguna Lawn,"[""https://www.blissfulbrides.sg/banquet/dusit-thani-laguna-singapore/wedding-banquet-price-list/dusit-thani-laguna-singapore-property-fact-sheet_jun-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/dusit-thani-laguna-singapore/wedding-banquet-price-list/timeless-symphonies-wedding-brochure.pdf""]",https://www.blissfulbrides.sg/detail/810/Dusit-Thani-Laguna-Singapore,wedding-venues-booking,Dusit Thani Laguna Singapore,204
,Lawn,,https://www.blissfulbrides.sg/detail/1356/Tanglin-Gin-Jungle,wedding-venues-booking,Tanglin Gin Jungle,215
,Madison,,https://www.blissfulbrides.sg/detail/1357/Pullman-Singapore-Hill-Street,wedding-venues-booking,Pullman Singapore Hill Street,217
"9 Kent Ridge Drive, Singapore 119241",Mandalay Guild House,"[""https://www.blissfulbrides.sg/banquet/the-national-university-of-singapore-society-nuss-/wedding-banquet-price-list/mandalay-guild-house-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/the-national-university-of-singapore-society-nuss-/wedding-banquet-price-list/suntec-city-guild-house-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/the-national-university-of-singapore-society-nuss-/wedding-banquet-price-list/kent-ridge-guild-house-2025.pdf""]",https://www.blissfulbrides.sg/detail/1337/The-National-University-of-Singapore-Society--NUSS-,wedding-venues-booking,The National University of Singapore Society (NUSS),207
,Mayfair Pool,,https://www.blissfulbrides.sg/detail/1401/Goodwood-Park-Hotel,wedding-venues-booking,Goodwood Park Hotel,247
,Min Jiang,"[""https://www.blissfulbrides.sg/banquet/goodwood-park-hotel/wedding-banquet-price-list/mj-weddings.pdf"", ""https://www.blissfulbrides.sg/banquet/goodwood-park-hotel/wedding-banquet-price-list/gwp-ballroom-weddings-1-oct-2025-30-sep-2026-.pdf""]",https://www.blissfulbrides.sg/detail/1401/Goodwood-Park-Hotel,wedding-venues-booking,Goodwood Park Hotel,245
,Minh Tâm - Hoa Tâm - Ngọa Nguyệt Lake - Khai Tâm Gate,,https://www.blissfulbrides.sg/detail/1346/Legacy-Y--n-T---,wedding-venues-booking,Legacy Yên Tử,212
,"Night Safari, Tipi Tent",,https://www.blissfulbrides.sg/detail/1385/Mandai-Wildlife-Reserve,wedding-venues-booking,Mandai Wildlife Reserve,242
,Oceanfront Villa,"[""https://www.blissfulbrides.sg/banquet/the-ritz-carlton-bali/wedding-banquet-price-list/wedding-reception-package-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/the-ritz-carlton-bali/wedding-banquet-price-list/majestic-wedding-package-2025.pdf""]",https://www.blissfulbrides.sg/detail/1369/The-Ritz-Carlton---Bali,wedding-venues-booking,The Ritz Carlton - Bali,224
